Fabricante ,ID,Nome,Deslocamento Total,Deslocamento Leve [t] ,Cb,CV,Cv ,B [m],Bmax,β  (popa= aft),βx (amid),Tmax[m],D,LOA,LWL,Lpp [m],L_x,LWL/B,B/D,LCG,VCG,VC  [nós],Vmax  [nós],"Vmed/(LPP^0,5)",15,20,25,30,35,40,45
BlueGame,1,BG60,27.03,23.50,0.24,4.82,2.27,4.53,5.38,12.00,12.00,1.21,2.80,17.63,15.57,15.57,7.60,3.44,1.62,6.56,0.57,32.00,35.00,8.49,21.155742,26.40909173,29.45612354,31.71582012,34.51375151,38.29473989,43.10771567
,2,BGX60,35.00,29.75,0.25,4.97,1.67,5.30,6.04,9.50,9.50,1.42,3.27,19.02,16.36,16.36,8.18,3.09,1.62,7.36,1.64,25.00,30.00,6.80,28.43186667,36.41605054,41.19002769,44.35319698,47.82762563,52.4728137,58.47015147
,3,BGX70,40.00,34.00,0.21,3.74,1.63,5.60,6.38,14.00,14.00,1.60,3.46,21.86,18.80,18.80,9.40,3.36,1.62,8.46,1.73,25.00,30.00,6.34,29.60427365,38.81637171,45.64741911,51.18748855,56.62542566,62.97456,70.64342131
,4,BG42,11.50,9.78,0.20,5.14,2.21,4.37,4.98,17.00,17.00,1.05,2.70,12.98,11.16,11.16,5.58,2.55,1.62,5.02,1.35,30.00,38.00,10.18,12.32367666,14.9665427,16.71312679,18.93375671,21.96425942,25.80565429,30.41088435
,5,BG54,20.25,17.21,0.19,4.35,1.89,4.85,5.53,10.40,10.40,1.34,2.99,16.57,14.25,14.25,7.13,2.94,1.62,6.41,1.50,27.00,35.00,8.21,17.43451644,22.16059377,25.27969528,28.20336415,31.89643486,36.61689916,42.37374467
,6,BG62,24.00,20.40,0.17,3.53,1.99,5.37,6.12,17.00,17.00,1.40,3.32,18.80,16.17,16.17,8.08,3.01,1.62,7.28,1.66,30.00,39.00,8.58,19.91557301,26.272264,31.08871603,35.5038508,40.59026088,46.78237515,54.16985066
,7,BG27,40.00,34.00,0.20,3.29,1.63,5.60,6.38,14.00,14.00,1.60,3.46,22.82,19.63,19.63,9.81,3.50,1.62,8.83,1.73,25.00,30.00,6.21,28.71207553,37.76821258,44.81540164,50.97176213,57.07089411,63.99698273,72.18174021
Riva ,8,Aquarama ,2.29,1.95,0.05,3.67,2.46,2.24,4.57,20.20,20.20,1.26,3.05,8.48,8.41,8.41,3.59,3.76,0.73,2.96,0.14,32.00,45.00,13.28,3.627393467,4.429202221,5.457935901,6.850396942,8.603724529,10.70664928,13.15319208
,9,Aquariva Super,6.60,5.35,0.25,6.31,3.44,2.80,2.80,16.50,16.50,0.96,1.87,10.07,9.92,9.92,4.96,3.54,1.50,4.46,0.93,35.00,41.00,12.07,7.149607686,8.505027551,9.484950687,10.635707,12.17909597,14.1423753,16.51128779
,10,ISEO,3.85,2.94,0.23,6.72,3.64,2.50,2.50,15.00,15.00,0.96,1.67,8.24,7.08,7.08,3.54,2.83,1.50,3.19,0.83,35.00,40.00,14.09,5.235464317,5.514576184,5.8591626,6.575410257,7.646634546,9.031525979,10.70054239
